"","doc_id","sentence","token","upos","Entity"
"1","doc1","optimistic","optimistic","ADJ","Personality"
"6","doc2","fav youtuber moesargi fav music artist pink fav band sos favourite author sarah j maas im book hoarder enjoy nerd uf","music","NOUN","Hobbies"
"7","doc2","fav youtuber moesargi fav music artist pink fav band sos favourite author sarah j maas im book hoarder enjoy nerd uf","artist","NOUN","Profession"
"13","doc2","fav youtuber moesargi fav music artist pink fav band sos favourite author sarah j maas im book hoarder enjoy nerd uf","author","NOUN","Profession"
"35","doc4","love help anyone thats serious making money online dm tweet entrepreneur socialmedia marketing ucfue<U+393C><U+3E35>","serious","ADJ","Personality"
"41","doc4","love help anyone thats serious making money online dm tweet entrepreneur socialmedia marketing ucfue<U+393C><U+3E35>","entrepreneur","X","Profession"
"43","doc4","love help anyone thats serious making money online dm tweet entrepreneur socialmedia marketing ucfue<U+393C><U+3E35>","marketing","NOUN","Profession"
"51","doc5","praising worshiping god makes happy","happy","ADJ","Personality"
"58","doc7","everton following movie watching book loving round geeky girl follow dare","loving","VERB","Personality"
"70","doc9","new permanent fixture professional cycling calendar taking place th th august contact us dczeuseventscouk","professional","ADJ","Profession"
"89","doc10","born lives uduvil jaffna sri lanka studies jkokuvil hindu college","hindu","ADJ","Religion"
"90","doc10","born lives uduvil jaffna sri lanka studies jkokuvil hindu college","college","NOUN","Profession"
"94","doc11","road trips rock music ufbufb","music","NOUN","Hobbies"
"98","doc12","junior seo specialist spotcapglobal","specialist","NOUN","Profession"
"101","doc13","nippon data systems limited provider industry specific software applications solutions cloud solutions professional services erp crm scm","data","NOUN","Profession"
"102","doc13","nippon data systems limited provider industry specific software applications solutions cloud solutions professional services erp crm scm","systems","NOUN","Profession"
"107","doc13","nippon data systems limited provider industry specific software applications solutions cloud solutions professional services erp crm scm","software","NOUN","Profession"
"112","doc13","nippon data systems limited provider industry specific software applications solutions cloud solutions professional services erp crm scm","professional","ADJ","Profession"
"130","doc15","entrepreneur","entrepreneur","NOUN","Profession"
"133","doc16","curious soul author interested news politics israel books poetry psychiatry","author","NOUN","Profession"
"136","doc16","curious soul author interested news politics israel books poetry psychiatry","politics","NOUN","Hobbies"
"158","doc19","plan live ever far good","good","ADJ","Personality"
"160","doc20","australian army liner","army","NOUN","Profession"
"166","doc22","sofware developer","developer","NOUN","Profession"
"170","doc24","main interest politics","politics","NOUN","Hobbies"
"191","doc28","cool calm collective person keep real pso","calm","ADJ","Personality"
"201","doc30","lawyer private practice","lawyer","ADJ","Profession"
"203","doc30","lawyer private practice","practice","NOUN","Profession"
"207","doc31","stops getting close allah needs go seeithowiseeit clearvisionufdetermination","allah","NOUN","Religion"
"233","doc34","makings international industry fzc dubai manufacturer bodyspray perfumes airfreshner partner director","director","NOUN","Profession"
"242","doc37","british crime thriller author wrote bastille mystery series along pete stevens","author","NOUN","Profession"
"250","doc38","brand originating darjeeling unblended indian teas delivered garden fresh direct india","brand","ADV","Profession"
"264","doc39","discovering capturing enriching business information clients xerox motorsport fan views","business","NOUN","Profession"
"265","doc39","discovering capturing enriching business information clients xerox motorsport fan views","information","NOUN","Profession"
"267","doc39","discovering capturing enriching business information clients xerox motorsport fan views","xerox","SYM","Organization"
