"","doc_id","sentence","token","upos","Entity"
"3","doc1","iowa state university","university","NOUN","Profession"
"12","doc3","intelligent patientsloyal kind love compassion passionate understandingsincerely honest big heart easy going woman sense humor","intelligent","ADJ","Personality"
"14","doc3","intelligent patientsloyal kind love compassion passionate understandingsincerely honest big heart easy going woman sense humor","kind","NOUN","Personality"
"17","doc3","intelligent patientsloyal kind love compassion passionate understandingsincerely honest big heart easy going woman sense humor","passionate","NOUN","Personality"
"19","doc3","intelligent patientsloyal kind love compassion passionate understandingsincerely honest big heart easy going woman sense humor","honest","ADJ","Personality"
"32","doc5","im survivor aka walking miracle aka phenomenal human beinguf","walking","VERB","Hobbies"
"39","doc6","official twitter page salvador rodriguez running mayor south bend maintanced teamsal personal tweets end s avoiceforall","twitter","NOUN","Organization"
"43","doc6","official twitter page salvador rodriguez running mayor south bend maintanced teamsal personal tweets end s avoiceforall","running","VERB","Hobbies"
"55","doc7","relapsed media disconnect","media","NOUN","Profession"
"70","doc12","digital strategist communicator bb marketing specialist social seller owner publishared food lover needing love food much uf","communicator","NOUN","Personality"
"72","doc12","digital strategist communicator bb marketing specialist social seller owner publishared food lover needing love food much uf","marketing","NOUN","Profession"
"73","doc12","digital strategist communicator bb marketing specialist social seller owner publishared food lover needing love food much uf","specialist","NOUN","Profession"
"74","doc12","digital strategist communicator bb marketing specialist social seller owner publishared food lover needing love food much uf","social","ADJ","Profession"
"78","doc12","digital strategist communicator bb marketing specialist social seller owner publishared food lover needing love food much uf","food","NOUN","Profession"
"82","doc12","digital strategist communicator bb marketing specialist social seller owner publishared food lover needing love food much uf","food","NOUN","Profession"
"91","doc14","enjoy time houseboat fishing catching nascar listening music viewing sunsets water enjoying beer two friends","fishing","VERB","Hobbies"
"95","doc14","enjoy time houseboat fishing catching nascar listening music viewing sunsets water enjoying beer two friends","music","NOUN","Hobbies"
"116","doc16","cte business marketing teacheri teach marketing hospitality event planning senior capstone hlhs bs ms","business","NOUN","Profession"
"117","doc16","cte business marketing teacheri teach marketing hospitality event planning senior capstone hlhs bs ms","marketing","NOUN","Profession"
