,user_id,Description,NER,GPE,LOC,ORG,NORP,WORK_OF_ART,Other
0,1089863600246849536,optimistic,,,,,,,
1,791969492427341824,"fav YouTuber: @moesargi
fav music artist: @pink
fav band: @5sos
favourite author: @sarah J. maas
I'm a book hoarder
and I enjoy being a nerd <U+0001F913>","[('YouTuber', 'PERSON'), ('@5sos', 'ORG'), ('@sarah J.', 'PERSON')]",,,@5sos,,,"{('@sarah J.', 'PERSON'), ('YouTuber', 'PERSON')}"
2,957862952261926913,Follower of Living god @donnypangilinan and the Living goddess @KissesDelavin #DonKiss,"[('@donnypangilinan', 'GPE'), ('@KissesDelavin', 'PERSON'), ('DonKiss', 'MONEY')]",@donnypangilinan,,,,,"{('DonKiss', 'MONEY'), ('@KissesDelavin', 'PERSON')}"
3,816924548796792833,I love to help anyone that's Serious about Making Money Online. DM or tweet me.. #entrepreneur #socialmedia #marketing.. ( <U+25CF><U+032E>~)~<U+261E> https://t.co/PoEbqQAA1j,"[('Serious', 'GPE'), ('#socialmedia #', 'MONEY')]",Serious,,,,,"('#socialmedia #', 'MONEY')"
4,1052194171795243008,praising and worshiping my God makes me happy,,,,,,,
5,1054963261098078209,Dnnmndnjnj<U+0923><U+0927><U+0927><U+0927><U+0923>,"('Dnnmndnjnj', 'ORG')",,,Dnnmndnjnj,,,
6,420585058,"Everton following, movie watching, book loving all round geeky girl. Follow me if you dare.","('Everton', 'ORG')",,,Everton,,,
7,3133777988,utes 22 <U+0392>T<U+03A0>,,,,,,,
8,1046770645823033344,"A new and permanent fixture on the professional cycling calendar, taking place on the 9th - 11th August 2019. 

Contact us on: dc@zeusevents.co.uk.","[('the 9th - 11th August 2019', 'DATE'), ('dc@zeusevents.co.uk', 'ORG')]",,,dc@zeusevents.co.uk,,,"('the 9th - 11th August 2019', 'DATE')"
9,1085016029560897537,"BORN IN 01.09.2000
LIVES IN UDUVIL :JAFFNA: SRI LANKA
STUDIES IN J/KOKUVIL HINDU COLLEGE","[('01.09.2000', 'CARDINAL'), ('UDUVIL', 'GPE'), ('JAFFNA', 'GPE'), ('SRI LANKA', 'GPE'), ('J/KOKUVIL HINDU COLLEGE', 'PRODUCT')]","{'SRI LANKA', 'JAFFNA', 'UDUVIL'}",,,,,"{('01.09.2000', 'CARDINAL'), ('J/KOKUVIL HINDU COLLEGE', 'PRODUCT')}"
10,302140545,"Road trips, rock music <U+0001F3B6><U+0001F3B6>",,,,,,,
11,1032178726556114945,Junior SEO Specialist @SpotcapGlobal,,,,,,,
12,4264403054,"NIPPON DATA SYSTEMS LIMITED  is a provider of Industry Specific Software Applications, IT Solutions, Cloud Solutions and Professional Services. #ERP #CRM #SCM","[('NIPPON DATA SYSTEMS LIMITED  ', 'ORG'), ('Industry Specific Software Applications', 'ORG'), ('IT Solutions', 'ORG'), ('Cloud Solutions', 'ORG'), ('Professional Services', 'ORG'), ('#ERP', 'MONEY'), ('SCM', 'MONEY')]",,,"{'Cloud Solutions', 'Industry Specific Software Applications', 'NIPPON DATA SYSTEMS LIMITED  ', 'Professional Services', 'IT Solutions'}",,,"{('#ERP', 'MONEY'), ('SCM', 'MONEY')}"
13,160145616,Entrepreneur*Actress*Model*Face of Preety Woman*Motivational Speaker*Passionate about women's issue #Teamchelsea# Child of God..l put God first.#TeamJesus,"('Child', 'MONEY')",,,,,,"('Child', 'MONEY')"
14,1073475974069551104,Entrepreneur,,,,,,,
15,1072897701375729664,"A curious soul, would be #author interested in #News #Politics #Israel #Books #Poetry #Psychiatry  and more :-)","[('Israel', 'GPE'), ('Poetry', 'MONEY'), ('Psychiatry', 'MONEY')]",Israel,,,,,"{('Poetry', 'MONEY'), ('Psychiatry', 'MONEY')}"
16,1069485759898550273,politically conscious,,,,,,,
17,1065069836097617925,"Store: https://t.co/9FQm4TRN1q
If you like bong, welcome to our reanice store. We have a variety of products for your liking and using.",,,,,,,
18,851486080738131970,"I plan to live for ever. so far, so good",,,,,,,
19,153708617,Australian ARMY - 95 liner,"[('Australian', 'NORP'), ('ARMY', 'ORG')]",,,ARMY,Australian,,
20,2437367476,Everybody L<U+262F><U+FE0F>ves chrisay,,,,,,,
21,602989684,Sofware Developer,,,,,,,
22,306765931,Cr7<U+0001F4A5>Vijay<U+2665><U+FE0F>ARR<U+0001F4AB>MSD<U+26A1>,"[('Cr7<U+0001F4A5>Vijay', 'ORG'), ('ARR<U+0001F4AB', 'ORG'), ('MSD', 'ORG')]",,,"{'MSD', 'Cr7<U+0001F4A5>Vijay', 'ARR<U+0001F4AB'}",,,
23,1084142979433017346,Main interest in politics,,,,,,,
24,2347367479,live and let live,,,,,,,
25,1089755779643699200,MiLL. <U+0001F3E1>,,,,,,,
26,1065471147368562688,Hi we're Victoria and Stephan! We are cousins who vlog together. We hope you like our channel! :) You can follow us @hellovictoriag and @rabbit_run_32,"[('Victoria', 'PERSON'), ('Stephan', 'GPE')]",Stephan,,,,,"('Victoria', 'PERSON')"
27,987373268947689472,"cool calm collective person
keep it real #PSO#","('#PSO#', 'MONEY')",,,,,,"('#PSO#', 'MONEY')"
28,909681155422674944,"Global Entertainment, Bighit Entertainment.","[('Global Entertainment', 'ORG'), ('Bighit Entertainment', 'ORG')]",,,"{'Bighit Entertainment', 'Global Entertainment'}",,,
29,991011055475265537,LAWYER IN A PRIVATE PRACTICE.,"('LAWYER', 'GPE')",LAWYER,,,,,
30,1085083542810492934,"If it stops you from getting close to Allah, then it needs to go. #see_it_how_i_see_it #Clear_Vision<U+0001F633>#Determination!","('#see_it_how_i_see_it #Clear_Vision', 'MONEY')",,,,,,"('#see_it_how_i_see_it #Clear_Vision', 'MONEY')"
31,1090876865110142976,If you take umbrage at a comment you're more likely than not to be a petty pretentious know-all cockhead.,,,,,,,
32,938757352051871744,keep following,,,,,,,
33,1085812153221816321,"Makings international industry fzc Dubai
Manufacturer BODYSPRAY perfumes and Airfreshner..

Partner & Director","[('Dubai', 'GPE'), ('Airfreshner', 'GPE'), ('Partner &', 'ORG')]","{'Dubai', 'Airfreshner'}",,Partner &,,,
34,1024265856019312640,Success On my Mind,,,,,,,
35,295180849,Instagram @marshal_raisedbygods @marshalskennel  #08160535921 08103773299,"[('Instagram @marshal_raisedbygods @marshalskennel  ', 'ORG'), ('#08160535921', 'MONEY'), ('08103773299', 'DATE')]",,,Instagram @marshal_raisedbygods @marshalskennel  ,,,"{('#08160535921', 'MONEY'), ('08103773299', 'DATE')}"
36,2676494094,British Crime Thriller #Author. Wrote THE BASTILLE #MYSTERY SERIES along with PETE STEVENS.,"[('British', 'NORP'), ('Author', 'MONEY'), ('SERIES', 'EVENT'), ('PETE STEVENS', 'PERSON')]",,,,British,,"{('SERIES', 'EVENT'), ('PETE STEVENS', 'PERSON'), ('Author', 'MONEY')}"
37,183966174,A brand originating from Darjeeling unblended Indian Teas Delivered Garden Fresh Direct from India,"[('Indian', 'NORP'), ('India', 'GPE')]",India,,,Indian,,
38,877405386000793600,"Discovering, capturing and enriching business information for clients at Xerox. Motorsport fan too. All views are my own.","('Xerox', 'GPE')",Xerox,,,,,
39,3127365561,<U+2764><U+FE0F><U+0001F495><U+0001F495><U+0001F49E><U+0001F493><U+0001F496><U+0001F498>,,,,,,,
