,user_id,Description,NER,GPE,LOC,ORG,NORP,WORK_OF_ART,Other
0,948997266,Iowa State University,"('Iowa State University', 'ORG')",,,Iowa State University,,,
1,2762605662,Long live Britain and America and all the true patriots..  The best in the West,"[('Britain', 'GPE'), ('America', 'GPE'), ('West', 'LOC')]","{'America', 'Britain'}",West,,,,
2,1074363473080000512,"Intelligent, patients,loyal ,kind ,love ,compassion ,passionate ,understanding,sincerely ,honest and I have big heart.. am easy going woman with sense of humor.",,,,,,,
3,560692070,#LongLiveBigBen <U+0001F64F><U+0001F3FF>,,,,,,,
4,1088956155500490753,IM A SURVIVOR AKA A WALKING MIRACLE AKA A PHENOMENAL HUMAN BEING...<U+0001F914>,"('PHENOMENAL', 'ORG')",,,PHENOMENAL,,,
5,1083912778564489216,"Official Twitter page of Salvador Rodriguez. - Running for Mayor of South Bend 2019 - Maintanced by #TeamSal, personal tweets end with ~S #Avoiceforall","[('Salvador Rodriguez', 'ORG'), ('South Bend', 'GPE'), ('2019', 'DATE'), ('TeamSal', 'ORG'), ('Avoiceforall', 'MONEY')]",South Bend,,"{'Salvador Rodriguez', 'TeamSal'}",,,"{('2019', 'DATE'), ('Avoiceforall', 'MONEY')}"
6,1091224666402947074,A relapsed media disconnect,,,,,,,
7,1087935624324280321,InAsTaTEofConStAntCOnFfUSiON,,,,,,,
8,1514836603,mitochondria is the trap house of the cell,,,,,,,
9,2645721006,TMHS Class of '18,"('18', 'CARDINAL')",,,,,,"('18', 'CARDINAL')"
10,1091217735391031296,"Christian, Pro-Life, Populist, Nationalist","[('Christian', 'NORP'), ('Pro-Life', 'ORG'), ('Nationalist', 'NORP')]",,,Pro-Life,"{'Christian', 'Nationalist'}",,
11,89677185,Digital Strategist I Communicator I B2B Marketing specialist I Social Seller I Owner of Publishared I Food Lover I Needing to not love food so much... <U+0001F923>,"[('Digital Strategist', 'ORG'), ('B2B Marketing', 'ORG'), ('Social Seller I Owner', 'ORG')]",,,"{'Social Seller I Owner', 'Digital Strategist', 'B2B Marketing'}",,,
12,1086287066944675846,My dream is still alive<U+0001F607><U+0001F64C><U+2661>,,,,,,,
13,173856442,"Enjoy time on my houseboat, fishing or catching, NASCAR, listening to music, viewing sunsets over the water while enjoying a beer or two with friends!","[('NASCAR', 'ORG'), ('two', 'CARDINAL')]",,,NASCAR,,,"('two', 'CARDINAL')"
14,1081188167682846720,We have 4 grand reasons to want America to be Great Again. We want to know what you know. #conservatives #patriots,"[('America', 'GPE'), ('#conservatives #', 'MONEY')]",America,,,,,"('#conservatives #', 'MONEY')"
15,1088089996010184705,"CTE Business & Marketing Teacher-I teach Marketing, Hospitality, Event Planning, and Senior Capstone at HLHS.   B.S. & M.S.","[('CTE Business & Marketing', 'ORG'), ('Event Planning', 'ORG'), ('HLHS', 'ORG'), ('B.S.', 'GPE'), ('M.S.', 'GPE')]","{'B.S.', 'M.S.'}",,"{'CTE Business & Marketing', 'Event Planning', 'HLHS'}",,,
16,936015134400614400,<U+0001F5E3> The Only Constant In Life is Change<U+2755>,,,,,,,
17,1064270520684810242,Team Viva Manager. Team Recruits @TeamViva3 @GabrielKellee @TReplayzyt @ItzxboxXd @Chaotic81418772 @ImUnknownZ team sponsored by @TheRogueEnergy,"('Team Recruits', 'ORG')",,,Team Recruits,,,
18,1090824442324885504,On the Trump Train before it arrived at the Station! #MAGA #PATRIOT #AMERICAFIRST #BUILDTHEWALL #DRAINTHESWAMP #2NDAMENDMENT,"[('the Trump Train', 'PRODUCT'), ('Station', 'ORG'), ('MAGA', 'PERSON'), ('#PATRIOT', 'MONEY'), ('2NDAMENDMENT', 'MONEY')]",,,Station,,,"{('2NDAMENDMENT', 'MONEY'), ('the Trump Train', 'PRODUCT'), ('MAGA', 'PERSON'), ('#PATRIOT', 'MONEY')}"
19,1090978184047353857,"I'm just a friendly and loving Guy who's God-fearing, religious, caring, understanding and sweet. I'm the kind of Guy who's bubbly and fun to be with..!","[('Guy', 'PERSON'), ('Guy', 'PERSON')]",,,,,,"('Guy', 'PERSON')"
20,63599706,"Just look up now, you are loved.",,,,,,,
21,1091139190052466688,"Western Regional Director for the National RNHA. 
Give me a challenge I'll meet it with joy! - Reagan 1986","[('the National RNHA', 'ORG'), ('Reagan', 'PERSON'), ('1986', 'DATE')]",,,the National RNHA,,,"{('Reagan', 'PERSON'), ('1986', 'DATE')}"
22,2766049284,Crybaby,,,,,,,
23,1050943952117846017,Gofounders OnPassive Review - ImOnPassive Review LONG TERM TRUSTED COMPANY BASED IN FLORIDA https://t.co/F2KWwuScso #onpassive #gofounders #imonpassive #mlm,"[('Gofounders OnPassive Review - ImOnPassive Review LONG TERM TRUSTED COMPANY', 'ORG'), ('FLORIDA', 'GPE'), ('#onpassive', 'MONEY'), ('#', 'CARDINAL')]",FLORIDA,,Gofounders OnPassive Review - ImOnPassive Review LONG TERM TRUSTED COMPANY,,,"{('#onpassive', 'MONEY'), ('#', 'CARDINAL')}"
24,168660770,Nike National Account Manager,"('Nike National Account', 'ORG')",,,Nike National Account,,,
25,1091122993084944385,lovely military man who love all and ready to fight for is country,,,,,,,
26,26386836,Psalm 37:4 | TV News Reporter | NABJ Member,"[('37:4', 'CARDINAL'), ('NABJ', 'ORG')]",,,NABJ,,,"('37:4', 'CARDINAL')"
27,1084291287090634752,Deputy. Husband. Daddy. Saint Leo University.,"('Saint Leo University', 'ORG')",,,Saint Leo University,,,
28,1088603787860811776,"Tweet about tv shows,my thoughts,God, and country. I'm an entrepreneur,travel agent,pianist, Amerindian<U+0001F422> and I follow back <U+0001F3B9><U+0001F4FA><U+264A> deleted at 40k.fighting type 2","[('Amerindian', 'NORP'), ('40k.fighting', 'CARDINAL'), ('2', 'CARDINAL')]",,,,Amerindian,,"{('40k.fighting', 'CARDINAL'), ('2', 'CARDINAL')}"
29,1091111242025107463,"Landscape Designer, specialized in Golf course designing. I am also a Pro golfer and a golf tutor.",,,,,,,
30,755882288,"Life is like a rollercoaster. Its filled with twists, turns, ups, and downs but when its all over at least you had fun.",,,,,,,
31,472595217,we were previously out here doing bad shit. now we just doing shit.,,,,,,,
32,1007631458901557251,It's much harder to be a conservative than a liberal. Why? Because it is easier to give someone the finger than a helping hand. Give a helping hand <U+0001F91A>,,,,,,,
