"","doc_id","token","upos","Entity","pos_previous","pos_next","token_previous","token_next"
"12275","doc1536","fc","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADV","token[w-1]=chelsea","token[w-1]=since"
"7719","doc962","living","VERB","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADJ","token[w-1]=traveler","token[w-1]=coolest"
"23622","doc2965","follow","VERB","Irrelavant","pos[w-1]=AUX","pos[w+1]=ADV","token[w-1]=ill","token[w-1]=back"
"10463","doc1297","student","NOUN","Profession","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=international","token[w-1]=leader"
"13013","doc1631","agricultural","ADJ","Profession",NA,"pos[w+1]=NOUN",NA,"token[w-1]=economist"
"28845","doc3647","jesus","CCONJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=christ","token[w-1]=member"
"16588","doc2079","httpstcopsatlsji","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=love","token[w-1]=lgbtq"
"529","doc71","environment","NOUN","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=political","token[w-1]=country"
"26709","doc3371","pop","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=nfl","token[w-1]=culture"
"24223","doc3043","knee","NOUN","Irrelavant",NA,"pos[w+1]=NOUN",NA,"token[w-1]=amputee"
"9229","doc1154","okc","ADJ","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=dodgers","token[w-1]=sports"
"26461","doc3343","rabbit","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=NOUN","token[w-1]=peter","token[w-1]=father"
"24129","doc3031","ufwhat","DET","Irrelavant","pos[w-1]=VERB","pos[w+1]=NOUN","token[w-1]=follow","token[w-1]=udufefuff"
"23826","doc2991","junkie","NOUN","Irrelavant","pos[w-1]=NOUN","pos[w+1]=ADV","token[w-1]=adrenaline","token[w-1]=usually"
"447","doc63","pro","X","Irrelavant","pos[w-1]=ADJ","pos[w+1]=NOUN","token[w-1]=blogger","token[w-1]=writer"
"11952","doc1494","air","NOUN","Irrelavant","pos[w-1]=ADJ",NA,"token[w-1]=free",NA
