"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"1","doc1","optimistic","optimistic","ADJ","Personality",341,NA,"CNN"
"10","doc10","born lives uduvil jaffna sri lanka studies jkokuvil hindu college","hindu","ADJ","Religion",461,NA,"CNN"
"11","doc10","born lives uduvil jaffna sri lanka studies jkokuvil hindu college","college","NOUN","Profession",461,NA,"CNN"
"15","doc100","award winning nigerian political cartoonists illustrator","political","ADJ","Profession",378,NA,"CNN"
"17","doc100","award winning nigerian political cartoonists illustrator","illustrator","NOUN","Profession",378,NA,"CNN"
"32","doc1003","good gooduf","good","ADJ","Personality",1283,NA,"CNN"
"57","doc1008","independent recording artist formerly dwell records prosthetic records","artist","NOUN","Profession",367,NA,"CNN"
"63","doc1009","marine biologist university professor land bound mermaid political junky rgv fronterisa trump amoral pos","marine","NUM","Profession",1625,NA,"CNN"
"65","doc1009","marine biologist university professor land bound mermaid political junky rgv fronterisa trump amoral pos","university","NOUN","Profession",1625,NA,"CNN"
"70","doc1009","marine biologist university professor land bound mermaid political junky rgv fronterisa trump amoral pos","political","X","Profession",1625,NA,"CNN"
"81","doc101","weve laughed ive cried supportive one gone forever together youll always insideufc","supportive","ADJ","Personality",703,NA,"CNN"
"91","doc1011","intelligent special woman female daughter lives texas","intelligent","ADJ","Personality",371,NA,"CNN"
"99","doc1012","theatre artist educator based hartford ct ufaduf traveler adventurer performer teacher director avid baker tarot reader insta ryanshowland","artist","NOUN","Profession",454,NA,"CNN"
"108","doc1012","theatre artist educator based hartford ct ufaduf traveler adventurer performer teacher director avid baker tarot reader insta ryanshowland","teacher","NOUN","Profession",454,NA,"CNN"
"109","doc1012","theatre artist educator based hartford ct ufaduf traveler adventurer performer teacher director avid baker tarot reader insta ryanshowland","director","NOUN","Profession",454,NA,"CNN"
"127","doc1014","sidharth malhotra son vinod kumar malhotra paris france ufebuff company name anju enterprises france ufebuff paris","company","NOUN","Profession",590,NA,"CNN"
"166","doc1017","wife mother artist music lover","artist","NOUN","Profession",381,NA,"CNN"
"167","doc1017","wife mother artist music lover","music","NOUN","Hobbies",381,NA,"CNN"
