"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"3","doc1","iowa state university","university","NOUN","Profession",500,NA,"FOX"
"14","doc1001","female business owner michigan uffauff women trump uffauff maga uffauffthank mr president uffauff jeepgirl uffauff redhead dates","business","NOUN","Profession",1650,NA,"FOX"
"31","doc1002","auburn university psalm","university","NOUN","Profession",419,NA,"FOX"
"34","doc1003","loves jesus christ family united statesi pray israel nationalist","jesus","ADJ","Religion",5001,NA,"FOX"
"35","doc1003","loves jesus christ family united statesi pray israel nationalist","christ","NOUN","Religion",5001,NA,"FOX"
"61","doc1006","christian husband father coach div state champion meece middle school fb dad landonfields ky wesleyan college def lineman pawsup","christian","ADJ","Religion",669,NA,"FOX"
"64","doc1006","christian husband father coach div state champion meece middle school fb dad landonfields ky wesleyan college def lineman pawsup","coach","NOUN","Profession",669,NA,"FOX"
"70","doc1006","christian husband father coach div state champion meece middle school fb dad landonfields ky wesleyan college def lineman pawsup","school","NOUN","Profession",669,NA,"FOX"
"76","doc1006","christian husband father coach div state champion meece middle school fb dad landonfields ky wesleyan college def lineman pawsup","college","NOUN","Profession",669,NA,"FOX"
"94","doc1008","ufmy faith family friendsuf proud mom lucky wife sr training mgrdelivery att im tuproud ufdayup opinions expressed mine","proud","ADJ","Personality",455,"Etats-Unis","FOX"
"96","doc1008","ufmy faith family friendsuf proud mom lucky wife sr training mgrdelivery att im tuproud ufdayup opinions expressed mine","lucky","ADJ","Personality",455,"Etats-Unis","FOX"
"99","doc1008","ufmy faith family friendsuf proud mom lucky wife sr training mgrdelivery att im tuproud ufdayup opinions expressed mine","training","VERB","Profession",455,"Etats-Unis","FOX"
"140","doc1010","just old man living dreams giving opinions <U+393C><U+3E32>s feeling good time something like","good","ADJ","Personality",673,NA,"FOX"
"156","doc1013","twitter account roy orbison jr musician music publisher author son rock roll legend royorbison ufe press inquiries pressroyorbisonjrcom","twitter","ADJ","Organization",37115,NA,"FOX"
"157","doc1013","twitter account roy orbison jr musician music publisher author son rock roll legend royorbison ufe press inquiries pressroyorbisonjrcom","account","NOUN","Profession",37115,NA,"FOX"
"161","doc1013","twitter account roy orbison jr musician music publisher author son rock roll legend royorbison ufe press inquiries pressroyorbisonjrcom","musician","X","Profession",37115,NA,"FOX"
"162","doc1013","twitter account roy orbison jr musician music publisher author son rock roll legend royorbison ufe press inquiries pressroyorbisonjrcom","music","NOUN","Hobbies",37115,NA,"FOX"
"164","doc1013","twitter account roy orbison jr musician music publisher author son rock roll legend royorbison ufe press inquiries pressroyorbisonjrcom","author","NOUN","Profession",37115,NA,"FOX"
"171","doc1013","twitter account roy orbison jr musician music publisher author son rock roll legend royorbison ufe press inquiries pressroyorbisonjrcom","press","NOUN","Profession",37115,NA,"FOX"
"178","doc1015","entrepreneur e<U+393C><U+3E35>commerce dad social media marketing","entrepreneur","PRON","Profession",282,NA,"FOX"
