"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"1","doc1","optimistic","optimistic","ADJ","Personality",341,NA,"CNN"
"2","doc10","born lives uduvil jaffna sri lanka studies jkokuvil hindu college","hindu","ADJ","Religion",461,NA,"CNN"
"3","doc10","born lives uduvil jaffna sri lanka studies jkokuvil hindu college","college","NOUN","Profession",461,NA,"CNN"
"4","doc100","award winning nigerian political cartoonists illustrator","political","ADJ","Profession",378,NA,"CNN"
"5","doc100","award winning nigerian political cartoonists illustrator","illustrator","NOUN","Profession",378,NA,"CNN"
"6","doc1003","good gooduf","good","ADJ","Personality",1283,NA,"CNN"
"7","doc1008","independent recording artist formerly dwell records prosthetic records","artist","NOUN","Profession",367,NA,"CNN"
"8","doc1009","marine biologist university professor land bound mermaid political junky rgv fronterisa trump amoral pos","marine","NUM","Profession",1625,NA,"CNN"
"9","doc1009","marine biologist university professor land bound mermaid political junky rgv fronterisa trump amoral pos","university","NOUN","Profession",1625,NA,"CNN"
"10","doc1009","marine biologist university professor land bound mermaid political junky rgv fronterisa trump amoral pos","political","X","Profession",1625,NA,"CNN"
"11","doc101","weve laughed ive cried supportive one gone forever together youll always insideufc","supportive","ADJ","Personality",703,NA,"CNN"
"12","doc1011","intelligent special woman female daughter lives texas","intelligent","ADJ","Personality",371,NA,"CNN"
"13","doc1012","theatre artist educator based hartford ct ufaduf traveler adventurer performer teacher director avid baker tarot reader insta ryanshowland","artist","NOUN","Profession",454,NA,"CNN"
"14","doc1012","theatre artist educator based hartford ct ufaduf traveler adventurer performer teacher director avid baker tarot reader insta ryanshowland","teacher","NOUN","Profession",454,NA,"CNN"
"15","doc1012","theatre artist educator based hartford ct ufaduf traveler adventurer performer teacher director avid baker tarot reader insta ryanshowland","director","NOUN","Profession",454,NA,"CNN"
"16","doc1014","sidharth malhotra son vinod kumar malhotra paris france ufebuff company name anju enterprises france ufebuff paris","company","NOUN","Profession",590,NA,"CNN"
"17","doc1017","wife mother artist music lover","artist","NOUN","Profession",381,NA,"CNN"
"18","doc1017","wife mother artist music lover","music","NOUN","Hobbies",381,NA,"CNN"
"19","doc1018","catholic moderate democratic mercy humility","catholic","ADJ","Religion",524,NA,"CNN"
"20","doc1019","columbia asst director faculty development diversity columbia teacherscollege alumna gwtweets alumna memphis native","director","NOUN","Profession",440,NA,"CNN"
"21","doc1019","columbia asst director faculty development diversity columbia teacherscollege alumna gwtweets alumna memphis native","development","NOUN","Profession",440,NA,"CNN"
"22","doc1020","uufefjdmauufef infj author saintly amquerying ya f wildernest nature poetry writingcommunity bookreviewer readcrimefiction blogger goodreads","author","NOUN","Profession",6933,NA,"CNN"
"23","doc1020","uufefjdmauufef infj author saintly amquerying ya f wildernest nature poetry writingcommunity bookreviewer readcrimefiction blogger goodreads","nature","NOUN","Profession",6933,NA,"CNN"
"24","doc1022","artist mad scientist designer upcycler diymike","artist","VERB","Profession",3479,NA,"CNN"
"25","doc1022","artist mad scientist designer upcycler diymike","scientist","NOUN","Profession",3479,NA,"CNN"
"26","doc1022","artist mad scientist designer upcycler diymike","designer","NOUN","Profession",3479,NA,"CNN"
"27","doc1026","aluminium fabricator inspirational writer believer goal getter never say die attitude always looking next challenges uniquely different","writer","NOUN","Profession",339,NA,"CNN"
"28","doc1026","aluminium fabricator inspirational writer believer goal getter never say die attitude always looking next challenges uniquely different","next","ADJ","Organization",339,NA,"CNN"
"29","doc1028","food eater rebel lover fighter","food","NOUN","Profession",376,NA,"CNN"
"30","doc1029","uff god st ufcuffe kind uufef thank u next ufac byeeeeeeee","kind","ADV","Personality",1780,NA,"CNN"
"31","doc1029","uff god st ufcuffe kind uufef thank u next ufac byeeeeeeee","next","ADJ","Organization",1780,NA,"CNN"
"32","doc1035","qoute writer ud painterufa social workerufb ambitiousuf penname userufad travelblogger uaufebeliever ufrenaissance uff working intern travart explorationufa","writer","NOUN","Profession",328,NA,"CNN"
"33","doc1035","qoute writer ud painterufa social workerufb ambitiousuf penname userufad travelblogger uaufebeliever ufrenaissance uff working intern travart explorationufa","social","ADJ","Profession",328,NA,"CNN"
"34","doc1036","hiker skier digital marketing dabbler","marketing","NOUN","Profession",284,NA,"CNN"
"35","doc1037","daughter siblings student years old quite artist little genius","student","NOUN","Profession",367,NA,"CNN"
"36","doc1037","daughter siblings student years old quite artist little genius","artist","VERB","Profession",367,NA,"CNN"
"37","doc1038","im clara james name im long beach california years im single","beach","NOUN","Hobbies",325,NA,"CNN"
"38","doc1039","ufafdedicated father lover life people seeking life boundaries proud parent mater dei high school honor glory love ufuaaufef","proud","ADJ","Personality",1366,NA,"CNN"
"39","doc1039","ufafdedicated father lover life people seeking life boundaries proud parent mater dei high school honor glory love ufuaaufef","parent","NOUN","Personality",1366,NA,"CNN"
"40","doc1039","ufafdedicated father lover life people seeking life boundaries proud parent mater dei high school honor glory love ufuaaufef","school","NOUN","Profession",1366,NA,"CNN"
"41","doc104","water engineer period","engineer","NOUN","Profession",472,NA,"CNN"
"42","doc1040","resist orange menace trying destroy nationufaufaufafbr uufef","orange","ADJ","Organization",1594,NA,"CNN"
"43","doc1041","mass reported trumpers suspended lost followers help get followers new account resistance fucktrump","account","NOUN","Profession",492,NA,"CNN"
"44","doc1042","kerncountys premier litigation business realestate estateplanning agriculture oilgas firm representing clients throughout bakersfield centralvalley","business","NOUN","Profession",873,NA,"CNN"
"45","doc1044","agent dm buisness offers pro controller player","agent","NOUN","Profession",545,NA,"CNN"
"46","doc1044","agent dm buisness offers pro controller player","controller","NOUN","Profession",545,NA,"CNN"
"47","doc1047","helping others grow areas life executive coach entrepreneur founder simpluris inc subscribe daily podcastufuffb httpstcoxbpavzgbm","executive","ADJ","Profession",313,NA,"CNN"
"48","doc1047","helping others grow areas life executive coach entrepreneur founder simpluris inc subscribe daily podcastufuffb httpstcoxbpavzgbm","coach","NOUN","Profession",313,NA,"CNN"
